TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2016-05-02 02:20:55.712,-5.000000e-02,7.200000e-01,-3.000000e-02,-7.596000e+01,-1.110000e+00,4.905000e+01
2016-05-02 02:20:55.808,8.000000e-02,3.600000e-01,2.000000e-02,-2.584000e+01,1.490000e+00,-4.647000e+01
2016-05-02 02:20:55.957,-9.000000e-02,5.900000e-01,-6.000000e-02,1.791000e+01,-4.880000e+00,-1.174100e+02
2016-05-02 02:20:56.052,-7.400000e-01,5.000000e-01,-2.700000e-01,2.206000e+01,2.134000e+01,-256
2016-05-02 02:20:56.202,-1.270000e+00,2.000000e-01,-1.600000e-01,8.783000e+01,8.059000e+01,-2.520900e+02
2016-05-02 02:20:56.295,-1.480000e+00,-3.000000e-02,-3.300000e-01,7.473000e+01,3.995000e+01,-1.466600e+02
2016-05-02 02:20:56.446,-1.290000e+00,-1.200000e-01,-4.000000e-01,6.648000e+01,2.230000e+01,-6.589000e+01
2016-05-02 02:20:56.539,-9.300000e-01,-1.300000e-01,-3.800000e-01,2.372000e+01,7.850000e+00,-2.436000e+01
2016-05-02 02:20:56.684,-6.700000e-01,-1.100000e-01,-3.400000e-01,-1.417000e+01,-1.210000e+01,4.115000e+01
2016-05-02 02:20:56.781,-8.100000e-01,-3.100000e-01,-2.400000e-01,-1.065000e+01,-7.410000e+00,5.155000e+01
2016-05-02 02:20:56.880,-8.900000e-01,-3.100000e-01,-2.500000e-01,1.960000e+00,9.300000e-01,6.180000e+00
2016-05-02 02:20:57.026,-8.000000e-01,-3.400000e-01,-2.400000e-01,-2.690000e+00,-4.800000e+00,8.930000e+00
2016-05-02 02:20:57.139,-8.500000e-01,-3.000000e-01,-2.300000e-01,3.160000e+00,-4.650000e+00,-1.811000e+01
2016-05-02 02:20:57.269,-8.700000e-01,-3.200000e-01,-3.200000e-01,4.880000e+00,-1.070000e+00,-1.219000e+01
2016-05-02 02:20:57.369,-8.500000e-01,-2.700000e-01,-2.700000e-01,2.700000e-01,1.000000e-02,7.000000e-02
2016-05-02 02:20:57.515,-8.800000e-01,-2.600000e-01,-2.400000e-01,-2.750000e+00,-1.100000e+00,1.365000e+01
2016-05-02 02:20:57.610,-8.300000e-01,-2.400000e-01,-2.300000e-01,4.940000e+00,-1.140000e+00,1.760000e+00
2016-05-02 02:20:57.758,-8.500000e-01,-1.800000e-01,-3.200000e-01,4.340000e+00,-2.220000e+00,-2.500000e+00
2016-05-02 02:20:57.858,-8.700000e-01,-2.900000e-01,-3.200000e-01,-5.000000e-01,-3.880000e+00,2.700000e-01
2016-05-02 02:20:58.004,-8.100000e-01,-2.800000e-01,-1.800000e-01,-2.400000e-01,-6.680000e+00,-1.000000e-01
2016-05-02 02:20:58.102,-8.800000e-01,-2.400000e-01,-2.500000e-01,-6.200000e-01,-1.570000e+00,-1.070000e+00
2016-05-02 02:20:58.248,-9.400000e-01,-2.400000e-01,-2.400000e-01,4.880000e+00,-1.200000e-01,2.840000e+00
2016-05-02 02:20:58.345,-8.700000e-01,-2.100000e-01,-2.400000e-01,1.970000e+00,-4.590000e+00,-2.210000e+00
2016-05-02 02:20:58.440,-9.000000e-01,-2.200000e-01,-2.400000e-01,1.050000e+00,9.000000e-01,-2.890000e+00
2016-05-02 02:20:58.587,-9.000000e-01,-1.900000e-01,-2.200000e-01,1.140000e+00,-2.330000e+00,-5.890000e+00
2016-05-02 02:20:58.684,-8.700000e-01,-2.600000e-01,-3.300000e-01,7.000000e-02,-4.890000e+00,3.810000e+00
2016-05-02 02:20:58.829,-8.500000e-01,-2.800000e-01,-2.700000e-01,2.640000e+00,6.500000e-01,6.400000e-01
2016-05-02 02:20:58.926,-8.800000e-01,-2.400000e-01,-2.500000e-01,1.050000e+00,-9.300000e-01,-9.000000e-01
2016-05-02 02:20:59.074,-8.500000e-01,-1.700000e-01,-2.700000e-01,1.700000e+00,9.900000e-01,-2.520000e+00
2016-05-02 02:20:59.170,-8.500000e-01,-1.700000e-01,-2.200000e-01,4.080000e+00,-1.550000e+00,-3.840000e+00
2016-05-02 02:20:59.319,-8.800000e-01,-2.800000e-01,-2.300000e-01,2.700000e+00,-1.900000e+00,2.500000e+00
2016-05-02 02:20:59.414,-8.100000e-01,-2.300000e-01,-2.200000e-01,2.950000e+00,-1.040000e+00,-2.870000e+00
2016-05-02 02:20:59.565,-8.000000e-01,-2.700000e-01,-2.700000e-01,2.480000e+00,-1.350000e+00,-1.070000e+00
2016-05-02 02:20:59.659,-8.800000e-01,-2.600000e-01,-2.700000e-01,2.750000e+00,-2.230000e+00,9.000000e-02
2016-05-02 02:20:59.805,-9.000000e-01,-1.900000e-01,-2.300000e-01,4.730000e+00,2.370000e+00,-2.790000e+00
2016-05-02 02:20:59.902,-8.500000e-01,-2.300000e-01,-2.300000e-01,9.500000e-01,-4.400000e-01,9.700000e-01
2016-05-02 02:21:00.000,-8.500000e-01,-2.700000e-01,-2.800000e-01,2.830000e+00,1.600000e-01,6.100000e-01
2016-05-02 02:21:00.145,-8.000000e-01,-1.700000e-01,-2.500000e-01,4.220000e+00,4.500000e-01,2.260000e+00
2016-05-02 02:21:00.242,-8.800000e-01,-2.600000e-01,-2.200000e-01,-3.000000e-02,9.000000e-02,-2.510000e+00
2016-05-02 02:21:00.392,-8.700000e-01,-2.500000e-01,-2.500000e-01,2.770000e+00,-9.600000e-01,-6.910000e+00
2016-05-02 02:21:00.488,-9.500000e-01,-2.600000e-01,-1.700000e-01,1.380000e+00,-1.110000e+00,-6.650000e+00
2016-05-02 02:21:00.638,-9.600000e-01,-1.700000e-01,-2.700000e-01,2.650000e+00,4.100000e-01,-1.450000e+00
2016-05-02 02:21:00.733,-8.700000e-01,-2.700000e-01,-2.400000e-01,2.490000e+00,-2.710000e+00,-2.700000e+00
2016-05-02 02:21:00.877,-9.000000e-01,-1.600000e-01,-2.600000e-01,1.340000e+00,-4.360000e+00,-1.290000e+00
2016-05-02 02:21:00.979,-8.400000e-01,-1.600000e-01,-2.800000e-01,1.880000e+00,-4.650000e+00,9.000000e-02
2016-05-02 02:21:01.121,-9.000000e-01,-2.400000e-01,-2.400000e-01,2.100000e+00,-1.810000e+00,-1.020000e+00
2016-05-02 02:21:01.217,-8.700000e-01,-1.700000e-01,-2.700000e-01,1.600000e+00,1.050000e+00,-2.270000e+00
2016-05-02 02:21:01.364,-8.800000e-01,-1.900000e-01,-2.700000e-01,1.600000e+00,1.100000e-01,-2.740000e+00
2016-05-02 02:21:01.460,-9.500000e-01,-2.700000e-01,-2.600000e-01,2.450000e+00,-8.000000e-01,-8.400000e-01
2016-05-02 02:21:01.559,-8.600000e-01,-2.600000e-01,-2.600000e-01,-2.600000e-01,-1.590000e+00,1.000000e-01
2016-05-02 02:21:01.705,-8.400000e-01,-1.700000e-01,-2.400000e-01,-5.000000e-02,-2.260000e+00,-1.560000e+00
2016-05-02 02:21:01.803,-8.900000e-01,-2.100000e-01,-2.800000e-01,2.920000e+00,8.700000e-01,-2.230000e+00
2016-05-02 02:21:01.949,-8.500000e-01,-2.800000e-01,-2.400000e-01,2.840000e+00,-4.250000e+00,-2.120000e+00
2016-05-02 02:21:02.078,-8.000000e-01,-1.900000e-01,-2.300000e-01,1.650000e+00,5.900000e-01,-4.380000e+00
2016-05-02 02:21:02.193,-9.100000e-01,-2.100000e-01,-2.400000e-01,-2.000000e-01,-1.090000e+00,-5.000000e-01
2016-05-02 02:21:02.290,-9.000000e-01,-1.600000e-01,-2.700000e-01,1.780000e+00,-1.140000e+00,7.900000e-01
2016-05-02 02:21:02.437,-8.400000e-01,-2.600000e-01,-2.200000e-01,1.880000e+00,-2.520000e+00,-7.000000e-01
